vce	Ic(Q1)
-1.570000000000012e+00	-1.530586e-03
-1.540000000000012e+00	-1.529324e-03
-1.510000000000012e+00	-1.528062e-03
-1.480000000000012e+00	-1.526801e-03
-1.450000000000012e+00	-1.525539e-03
-1.420000000000012e+00	-1.524277e-03
-1.390000000000012e+00	-1.523015e-03
-1.360000000000012e+00	-1.521754e-03
-1.330000000000012e+00	-1.520492e-03
-1.300000000000012e+00	-1.519230e-03
-1.270000000000012e+00	-1.517968e-03
-1.240000000000012e+00	-1.516707e-03
-1.210000000000012e+00	-1.515445e-03
-1.180000000000012e+00	-1.514183e-03
-1.150000000000012e+00	-1.512922e-03
-1.120000000000012e+00	-1.511660e-03
-1.090000000000012e+00	-1.510398e-03
-1.060000000000012e+00	-1.509136e-03
-1.030000000000012e+00	-1.507875e-03
-1.000000000000012e+00	-1.506613e-03
-9.700000000000120e-01	-1.505351e-03
-9.400000000000119e-01	-1.504090e-03
-9.100000000000119e-01	-1.502828e-03
-8.800000000000119e-01	-1.501566e-03
-8.500000000000119e-01	-1.500304e-03
-8.200000000000118e-01	-1.499043e-03
-7.900000000000118e-01	-1.497781e-03
-7.600000000000118e-01	-1.496519e-03
-7.300000000000118e-01	-1.495257e-03
-7.000000000000117e-01	-1.493996e-03
-6.700000000000117e-01	-1.492734e-03
-6.400000000000117e-01	-1.491472e-03
-6.100000000000116e-01	-1.490210e-03
-5.800000000000116e-01	-1.488948e-03
-5.500000000000116e-01	-1.487685e-03
-5.200000000000116e-01	-1.486421e-03
-4.900000000000115e-01	-1.485152e-03
-4.600000000000115e-01	-1.483872e-03
-4.300000000000115e-01	-1.482565e-03
-4.000000000000115e-01	-1.481191e-03
-3.700000000000114e-01	-1.479648e-03
-3.400000000000114e-01	-1.477682e-03
-3.100000000000114e-01	-1.474656e-03
-2.800000000000114e-01	-1.468979e-03
-2.500000000000113e-01	-1.456710e-03
-2.200000000000113e-01	-1.428308e-03
-1.900000000000113e-01	-1.362066e-03
-1.600000000000113e-01	-1.216180e-03
-1.300000000000113e-01	-9.421365e-04
-1.000000000000113e-01	-5.666553e-04
-7.000000000001133e-02	-2.431828e-04
-4.000000000001133e-02	-6.878331e-05
-1.000000000001133e-02	-1.684664e-08
0.000000000000000e+00	1.080908e-05
